,Statement,Link,Date
0,"American wanted for fraud, racketeering nabbed — BI",https://www.gmanetwork.com/news/topstories/nation/868981/american-wanted-for-fraud-racketeering-nabbed-bi/story/,"May 04, 2023"
1,"DOH: 12 to 23 years to address shortage of nurses, doctors under existing policies",https://www.gmanetwork.com/news/topstories/nation/868972/doh-12-to-23-years-to-address-shortage-of-nurses-doctors-under-existing-policies/story/,"May 04, 2023"
2,"Over 61M PhilIDs, ePhilIDs delivered — PSA",https://www.gmanetwork.com/news/topstories/nation/868974/over-61m-philids-ephilids-delivered-psa/story/,"May 04, 2023"
3,Vergeire: Lack of law prevents PH from procuring bivalent COVID-19 vaccines,https://www.gmanetwork.com/news/topstories/nation/868967/vergeire-lack-of-law-prevents-ph-from-procuring-bivalent-covid-19-vaccines/story/,"May 04, 2023"
4,Passengers advised to coordinate with airlines ahead of May 17 airspace shutdown,https://www.gmanetwork.com/news/topstories/nation/868961/passengers-advised-to-coordinate-with-airlines-ahead-of-may-17-airspace-shutdown/story/,"May 04, 2023"
5,Comelec presents TOR for an automated election system,https://www.gmanetwork.com/news/topstories/nation/868956/comelec-presents-tor-for-an-automated-election-system/story/,"May 04, 2023"
6,"DOLE looking into red-tagging of union members, says official",https://www.gmanetwork.com/news/topstories/nation/868945/dole-looking-into-red-tagging-of-union-members-says-official/story/,"May 04, 2023"
7,PNP chief Acorda vows to prioritize missing ‘sabungeros’ case,https://www.gmanetwork.com/news/topstories/nation/868933/pnp-chief-acorda-vows-to-prioritize-missing-sabungeros-case/story/,"May 04, 2023"
8,Marcos OKs creation of body for 125th PH independence,https://www.gmanetwork.com/news/topstories/nation/868922/marcos-oks-creation-of-body-for-125th-ph-independence/story/,"May 04, 2023"
9,"PH, US set up bilateral defense guidelines to modernize alliance",https://www.gmanetwork.com/news/topstories/nation/868917/philippines-us-defense-chiefs-galvez-austin-set-up-bilateral-defense-guidelines-to-modernize-alliance/story/,"May 04, 2023"
10,PDEG chief wants AMLC’s help in probing bank accounts of cops in P6.7-B drug case,https://www.gmanetwork.com/news/topstories/nation/868894/pdeg-chief-wants-amlc-s-help-in-probing-bank-accounts-of-cops-in-p6-7-b-drug-case/story/,"May 04, 2023"
11,Rizal Tech grad tops April 2023 Registered Electrical Engineers Licensure exam,https://www.gmanetwork.com/news/topstories/nation/868907/rizal-tech-grad-tops-april-2023-registered-electrical-engineers-licensure-exam/story/,"May 03, 2023"
12,"US not looking to form new Quad in East Asia with PH, other countries",https://www.gmanetwork.com/news/topstories/nation/868891/us-not-looking-to-form-new-quad-in-east-asia-with-ph-other-countries/story/,"May 03, 2023"
13,Makabayan bloc urges House inquiry into data breach at gov't agencies,https://www.gmanetwork.com/news/topstories/nation/868875/makabayan-bloc-urges-house-inquiry-into-data-breach-at-gov-t-agencies/story/,"May 03, 2023"
14,Win Gatchalian urges principals to shift to blended learning amid El Niño alert,https://www.gmanetwork.com/news/topstories/nation/868866/win-gatchalian-urges-principals-to-shift-to-blended-learning-amid-el-nino-alert/story/,"May 03, 2023"
15,"130 flights, 20,000 passengers to be affected by May 17 airspace shutdown — MIAA",https://www.gmanetwork.com/news/topstories/nation/868860/130-flights-20-000-passengers-to-be-affected-by-may-17-airspace-shutdown-miaa/story/,"May 03, 2023"
16,Poe seeks Senate inquiry into Panay power situation amid supply interruptions,https://www.gmanetwork.com/news/topstories/nation/868853/poe-seeks-senate-inquiry-into-panay-power-situation-amid-supply-interruptions/story/,"May 03, 2023"
17,Rep. Villanueva blasts DepEd for 'promoting' same-sex union in draft curriculum,https://www.gmanetwork.com/news/topstories/nation/868827/rep-villanueva-blasts-deped-for-promoting-same-sex-union-in-draft-curriculum/story/,"May 03, 2023"
18,US stands with PH vs. Chinese 'intimidation' in South China Sea —US State Dep't official,https://www.gmanetwork.com/news/topstories/nation/868845/us-stands-with-ph-vs-chinese-intimidation-in-south-china-sea-us-state-dep-t-official/story/,"May 03, 2023"
19,SC suspends lawyer for two years for sexual harassment at work,https://www.gmanetwork.com/news/topstories/nation/868843/sc-suspends-lawyer-for-two-years-for-sexual-harassment-at-work/story/,"May 03, 2023"
20,DBM: Marcos admin allots P2.39B for nat’l greening program,https://www.gmanetwork.com/news/topstories/nation/868818/dbm-marcos-admin-allots-p2-39b-for-nat-l-greening-program/story/,"May 03, 2023"
21,NAIA’s new electrical system won’t necessarily cost P1 billion —Recto,https://www.gmanetwork.com/news/topstories/nation/868807/naia-s-new-electrical-system-won-t-necessarily-cost-p1-billion-recto/story/,"May 03, 2023"
22,Blue Ribbon probe on ‘long delayed’ release of national IDs sought,https://www.gmanetwork.com/news/topstories/nation/868808/blue-ribbon-probe-on-long-delayed-release-of-national-ids-sought/story/,"May 03, 2023"
23,Abalos orders LGUs to prepare for possible El Niño effects,https://www.gmanetwork.com/news/topstories/nation/868802/abalos-orders-lgus-to-prepare-for-possible-el-nino-effects/story/,"May 03, 2023"
